scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
bicycle,Bicycle,1,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.05101203918457031,-0.00044089555740356445,0.00038617849349975586,18.87660789489746,18.82559585571289,0.5195421576499939,0.5199830532073975,0.36459362506866455,0.3642074465751648,45.4400749206543,0,37499059,0,0,1790900,800,18,0
bicycle,Bicycle,2,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.06536483764648438,0.0003516077995300293,-0.00021278858184814453,19.646472930908203,19.58110809326172,0.5462424755096436,0.5458908677101135,0.4008624255657196,0.40107521414756775,47.900535583496094,0,35764762,0,0,1704802,1206,35,0
bicycle,Bicycle,3,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.001789093017578125,-0.0002816915512084961,-0.00035250186920166016,20.828075408935547,20.829864501953125,0.6356781721115112,0.6359598636627197,0.3425101637840271,0.34286266565322876,49.71226501464844,0,36482957,0,0,1779021,956,23,0
bicycle,Bicycle,4,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.004245758056640625,-0.0003688335418701172,-0.00031882524490356445,21.668285369873047,21.672531127929688,0.6567327380180359,0.657101571559906,0.35081762075424194,0.3511364459991455,50.440040588378906,0,32584641,0,0,1337310,1009,35,0
bicycle,Bicycle,5,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.002353668212890625,-0.00019806623458862305,-9.697675704956055e-05,22.461788177490234,22.464141845703125,0.6751114130020142,0.6753094792366028,0.34487029910087585,0.3449672758579254,50.84116744995117,0,31029007,0,0,1500389,884,12,0
bicycle,Bicycle,6,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.02256011962890625,-0.0007374286651611328,-3.209710121154785e-05,24.68294334411621,24.705503463745117,0.7329124212265015,0.7336498498916626,0.2872064411640167,0.28723853826522827,49.80865478515625,0,34913317,0,0,1830580,964,28,0
bicycle,Bicycle,7,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.00754547119140625,-0.00030034780502319336,-7.131695747375488e-05,25.04681968688965,25.054365158081055,0.7282558679580688,0.728556215763092,0.2904027998447418,0.2904741168022156,48.33038330078125,0,32345835,0,0,1461046,874,47,0
bicycle,Bicycle,8,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.021465301513671875,-0.0005046725273132324,-6.73532485961914e-05,24.531856536865234,24.553321838378906,0.6713072061538696,0.6718118786811829,0.3616163730621338,0.36168372631073,49.00548553466797,0,32643237,0,0,1345422,998,23,0
bicycle,Bicycle,9,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.021015167236328125,-0.0004762411117553711,-0.00022879242897033691,25.40963363647461,25.430648803710938,0.7307175993919373,0.7311938405036926,0.31434765458106995,0.3145764470100403,50.467586517333984,0,31356521,0,0,1279662,1039,23,0
bicycle,Bicycle,10,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.020170211791992188,-0.0004273056983947754,-0.00031119585037231445,24.578039169311523,24.598209381103516,0.7173617482185364,0.7177890539169312,0.3176117539405823,0.3179229497909546,50.62649154663086,0,32774856,0,0,1345108,1160,36,0
