scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
lego,Lego,120,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.0027942657470703125,-0.00011211633682250977,-3.421679139137268e-05,31.840892791748047,31.843687057495117,0.959948718547821,0.9600608348846436,0.057600609958171844,0.05763482674956322,56.06643295288086,0,3152041,0,0,192704,0,0,0
lego,Lego,121,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.001220703125,-9.369850158691406e-05,1.6260892152786255e-05,31.58535385131836,31.58657455444336,0.9605463147163391,0.960640013217926,0.05794142186641693,0.057925160974264145,55.9707145690918,0,3155748,0,0,201899,0,0,0
lego,Lego,122,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0009365081787109375,-7.557868957519531e-05,-5.984306335449219e-05,31.639934539794922,31.63899803161621,0.9622228145599365,0.9622983932495117,0.05589980259537697,0.05595964565873146,55.9383659362793,0,3150712,0,0,164656,0,0,0
lego,Lego,123,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.001575469970703125,-7.790327072143555e-05,-2.1085143089294434e-05,31.71839141845703,31.719966888427734,0.9635953307151794,0.9636732339859009,0.054054610431194305,0.0540756955742836,56.00492858886719,0,3160195,0,0,181101,0,0,0
lego,Lego,124,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0029087066650390625,-7.015466690063477e-05,-0.00014387443661689758,31.749481201171875,31.746572494506836,0.9654439091682434,0.965514063835144,0.05323728173971176,0.05338115617632866,55.74930953979492,0,3179197,0,0,164840,0,0,0
lego,Lego,125,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0073566436767578125,-5.269050598144531e-05,-0.0001300424337387085,31.991636276245117,31.98427963256836,0.9678633213043213,0.9679160118103027,0.05168691277503967,0.05181695520877838,55.42369842529297,0,3175174,0,0,170927,0,0,0
lego,Lego,126,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0077762603759765625,-5.418062210083008e-05,-8.890405297279358e-05,31.798315048217773,31.790538787841797,0.9683591723442078,0.9684133529663086,0.050291772931814194,0.05038067698478699,55.737884521484375,0,3145736,0,0,171232,0,0,0
lego,Lego,127,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0009822845458984375,-8.016824722290039e-05,-6.60531222820282e-05,31.524707794189453,31.523725509643555,0.9678690433502197,0.9679492115974426,0.04859916493296623,0.04866521805524826,55.52668380737305,0,3119853,0,0,186071,0,0,0
lego,Lego,128,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0021343231201171875,-6.61611557006836e-05,-0.00010709092020988464,31.860950469970703,31.858816146850586,0.9684121012687683,0.968478262424469,0.04914488643407822,0.0492519773542881,55.57896041870117,0,3076486,0,0,185521,0,0,0
lego,Lego,129,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.0056915283203125,-0.00010067224502563477,-8.845329284667969e-05,32.256675720214844,32.262367248535156,0.9680209755897522,0.9681216478347778,0.04966277629137039,0.04975122958421707,55.297950744628906,0,3057936,0,0,150470,0,0,0
lego,Lego,130,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0028839111328125,-8.386373519897461e-05,-0.0001236051321029663,32.568763732910156,32.565879821777344,0.9676563739776611,0.9677402377128601,0.050148576498031616,0.05027218163013458,55.34467315673828,0,3038967,0,0,146142,0,0,0
lego,Lego,131,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.000946044921875,-0.0001055598258972168,3.517046570777893e-05,32.6722412109375,32.671295166015625,0.9672644138336182,0.9673699736595154,0.050614308565855026,0.05057913810014725,55.36323547363281,0,3021517,0,0,151988,0,0,0
lego,Lego,132,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.011119842529296875,-0.00011283159255981445,-5.054473876953125e-05,32.777462005615234,32.78858184814453,0.9675865769386292,0.967699408531189,0.049544163048267365,0.049594707787036896,55.464839935302734,0,3007529,0,0,167633,0,0,0
lego,Lego,133,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.0110321044921875,-0.00012940168380737305,2.0820647478103638e-05,32.973228454589844,32.98426055908203,0.9675726890563965,0.9677020907402039,0.05046706274151802,0.05044624209403992,55.584983825683594,0,3004487,0,0,166828,0,0,0
lego,Lego,134,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.01546478271484375,-0.00011032819747924805,-7.82310962677002e-07,32.92030334472656,32.935768127441406,0.9670721292495728,0.967182457447052,0.05059894174337387,0.05059972405433655,55.412193298339844,0,2999351,0,0,155027,0,0,0
lego,Lego,135,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.0213165283203125,-0.00013202428817749023,9.7714364528656e-06,32.715667724609375,32.73698425292969,0.9652978777885437,0.9654299020767212,0.05281731113791466,0.05280753970146179,55.62097930908203,0,2998830,0,0,147571,0,0,0
lego,Lego,136,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.014835357666015625,-0.00012320280075073242,-7.047131657600403e-05,32.25939178466797,32.274227142333984,0.9627678394317627,0.9628910422325134,0.05539615824818611,0.055466629564762115,55.636810302734375,0,3000487,0,0,161286,0,0,0
lego,Lego,137,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.017301559448242188,-0.00012022256851196289,-5.413219332695007e-05,31.919782638549805,31.937084197998047,0.960425615310669,0.9605458378791809,0.05713503062725067,0.05718916282057762,55.62982177734375,0,3006966,0,0,156497,0,0,0
lego,Lego,138,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.008554458618164062,-0.00012254714965820312,-4.0609389543533325e-05,31.814725875854492,31.823280334472656,0.9586804509162903,0.9588029980659485,0.059563588351011276,0.05960419774055481,55.426666259765625,0,3011643,0,0,149236,0,0,0
