allocator,scene_count,camera_count,equal_scene_no_t_cycles,equal_scene_with_t_cycles,equal_scene_no_t_fps,equal_scene_with_t_fps,equal_scene_t_speedup,pooled_camera_no_t_cycles,pooled_camera_with_t_cycles
atae_snugbox,8,581,1986052.88331228,1718077.442228266,201.4045060738221,232.81837603386418,1.1559740175253466,1018961.917383821,886725.3356282272
baseline_aabb,8,581,5434656.7571421275,4799643.7778274175,73.60170437154605,83.33951820504937,1.1323041893751022,2751463.7831325303,2436969.5731497416
