scene,allocator,cam,camera_name,continuous_w16_no_t_cycles,continuous_w16_tile_tstop_cycles,continuous_w16_no_t_fps,continuous_w16_tile_tstop_fps,t_speedup,n_kvp_raw,n_kvp_retained,n_kvp_tstopped,t_stopped_fraction,producer_cycles_raw,producer_cycles_retained,no_t_core_cycles,with_t_core_cycles,no_t_core_imbalance,with_t_core_imbalance
bicycle,atae_snugbox,18,_DSC8824,3581026,3468138,111.69983127740485,115.33566426710817,1.0325500311694633,882677,854455,28222,0.03197319064618201,4783998,4608617,"[3580918, 3581026, 3580912, 3580976]","[3468138, 3468024, 3468088, 3468030]",3.18350564290338e-05,3.287130882594642e-05
bicycle,atae_snugbox,19,_DSC8832,3137744,3113338,127.48012584838024,128.4794648059414,1.0078391745451345,771787,765685,6102,0.00790632648645287,4222073,4193681,"[3137426, 3137338, 3137744, 3137084]","[3113020, 3112676, 3113338, 3112926]",0.00021036540470797775,0.000212657284475697
bicycle,atae_snugbox,20,_DSC8840,3600508,3591218,111.09543431093613,111.38282332066726,1.0025868660716224,887429,885107,2322,0.0026165473519571708,5187513,5174464,"[3599536, 3599676, 3600144, 3600508]","[3590386, 3590252, 3590856, 3591218]",0.00027000255002408355,0.000269029971498419
bicycle,atae_snugbox,21,_DSC8848,3111104,3100964,128.5717224496513,128.99214566825026,1.00326995089269,765140,762606,2534,0.003311812217371984,4007269,3994642,"[3110972, 3111104, 3110586, 3110578]","[3100836, 3100446, 3100964, 3100450]",0.00016908779385433375,0.0001670604520178516
bicycle,atae_snugbox,22,_DSC8856,3603268,3545500,111.01033839281452,112.81906642222536,1.0162933295726977,888157,873715,14442,0.01626063860331,4745322,4656971,"[3602574, 3602492, 3603178, 3603268]","[3545500, 3544806, 3544728, 3545406]",0.00021538336851816797,0.00021776475201051588
bicycle,atae_snugbox,23,_DSC8864,3659626,3643202,109.30078647380907,109.79352778133082,1.0045081222507015,902124,898016,4108,0.004553697717830364,4442216,4420518,"[3658530, 3658344, 3659626, 3658484]","[3642058, 3643202, 3641908, 3642088]",0.00035039327682216806,0.00035526865613453424
bicycle,atae_snugbox,24,_DSC8872,3686342,3577112,108.50865166606897,111.82205086114162,1.0305358065389063,908947,881647,27300,0.03003475450163761,4758022,4602036,"[3685500, 3686342, 3686304, 3686006]","[3577068, 3576334, 3577112, 3576838]",0.00022842954955971695,0.0002175105498208194
drjohnson,atae_snugbox,0,IMG_6292,1706276,1660450,234.4286621859535,240.89855159745852,1.0275985425637628,417679,406234,11445,0.027401425496613428,3046133,2946164,"[1706276, 1704700, 1705694, 1704794]","[1658998, 1660450, 1658948, 1659948]",0.0009241417971274201,0.0009050449931488938
drjohnson,atae_snugbox,1,IMG_6301,930020,926244,430.09827745639876,431.8516503210817,1.004076679579031,223815,222871,944,0.004217769139691263,1729392,1721679,"[929650, 929980, 930020, 929990]","[926204, 925872, 926216, 926244]",0.0003978879676527836,0.00040166973677675154
drjohnson,atae_snugbox,2,IMG_6313,4449612,2982148,89.89547852711652,134.13150521033833,1.4920828879049597,1103607,736772,366835,0.3323964056045313,6043524,4248905,"[4448510, 4448588, 4449602, 4449612]","[2981438, 2981990, 2981376, 2982148]",0.00024769176894628503,0.0002589094011613361
drjohnson,atae_snugbox,3,IMG_6322,1448396,1389976,276.16756743321577,287.7747529453746,1.042029502667672,353275,338753,14522,0.04110678649777086,2924230,2791378,"[1447578, 1447744, 1448396, 1447282]","[1389706, 1389570, 1389396, 1389976]",0.0007694698670350544,0.0004173676764565772
drjohnson,atae_snugbox,4,IMG_6332,1489320,1401306,268.5789487819945,285.4480035053015,1.062808551451289,363649,341622,22027,0.06057214511795715,2941276,2763518,"[1489198, 1489180, 1489320, 1489286]","[1401306, 1401188, 1401062, 1400996]",9.400730302448353e-05,0.00022124872781981503
drjohnson,atae_snugbox,5,IMG_6340,1622692,1559264,246.5039576210396,256.53128655570833,1.0406781661091387,396901,381026,15875,0.0399973796992197,3100994,2983627,"[1622260, 1622042, 1622022, 1622692]","[1559264, 1558772, 1558490, 1558490]",0.0004130056082463042,0.0004965504499106337
drjohnson,atae_snugbox,6,IMG_6349,3804960,2904362,105.12594087717085,137.7238787726874,1.3100846244373119,942200,717056,225144,0.23895563574612608,5261574,4141333,"[3802426, 3804946, 3804960, 3801468]","[2904306, 2901974, 2904362, 2900854]",0.0009181138177181244,0.0012084575493114755
drjohnson,atae_snugbox,7,IMG_6358,2207272,2086416,181.21917008868866,191.71632119385586,1.0579251692855116,542985,512829,30156,0.05553744578579519,3852671,3603221,"[2206462, 2206214, 2206412, 2207272]","[2086094, 2086416, 2085742, 2085612]",0.00047947285177581697,0.0003854329361072999
drjohnson,atae_snugbox,8,IMG_6366,1933054,1555748,206.92644902832512,257.1110488331015,1.2425238534775556,474180,380036,94144,0.19854063857606816,3957909,3205888,"[1930870, 1933054, 1931088, 1930468]","[1554236, 1554214, 1555748, 1554978]",0.001338945929573308,0.0009866258809848765
drjohnson,atae_snugbox,9,IMG_6374,1226990,1218492,326.00102690323473,328.27462141729285,1.0069741943320103,297959,295835,2124,0.00712849754496424,2350834,2334460,"[1226990, 1226316, 1226288, 1226350]","[1217848, 1218492, 1217824, 1217796]",0.0005723669083870505,0.0005714332629988752
drjohnson,atae_snugbox,10,IMG_6382,2088556,1865048,191.51988263661593,214.47169188138858,1.1198403472725635,513335,457458,55877,0.10885094528913868,3887804,3434678,"[2088556, 2087994, 2087124, 2088286]","[1863618, 1864484, 1865048, 1864778]",0.0006858270394015297,0.0007669690562848018
drjohnson,atae_snugbox,11,IMG_6392,1738836,1466714,230.038945593489,272.7184713584243,1.185531739657493,425006,356270,68736,0.16172948146614402,2666385,2257494,"[1733484, 1735364, 1738836, 1731012]","[1456916, 1459456, 1466714, 1455834]",0.0045103575657443416,0.007453433169147719
drjohnson,atae_snugbox,12,IMG_6401,2330664,1990358,171.62491032598436,200.9688709267378,1.170977281473986,573853,488769,85084,0.14826793621362963,3935978,3307355,"[2330276, 2329844, 2329464, 2330664]","[1990358, 1988950, 1990012, 1989584]",0.0005150077551584465,0.0007076351216197607
drjohnson,atae_snugbox,13,IMG_6410,1540550,1450982,259.6475284800883,275.67537019756276,1.0617292288946383,376247,353859,22388,0.059503464479451,2878819,2685946,"[1539318, 1539420, 1540550, 1539264]","[1450982, 1449686, 1449838, 1449838]",0.0008352612757024703,0.0008937400954150305
drjohnson,atae_snugbox,14,IMG_6421,2809254,2360610,142.3865552919031,169.44772749416464,1.19005426563473,693483,581351,112132,0.16169394202886012,4505195,3695357,"[2809128, 2807084, 2809254, 2808862]","[2360566, 2358592, 2360610, 2360448]",0.0007726318832777536,0.0008550651807119668
