allocator,tile_tstop,equal_scene_cycles,raster_fps,speedup_vs_baseline_aabb_no_t
baseline_aabb,off,5434656.7571421275,73.60170437154605,1.0
baseline_aabb,on,4799643.7778274175,83.33951820504937,1.1323041893751022
atae_snugbox,off,1986052.88331228,201.4045060738221,2.736410899632425
atae_snugbox,on,1718077.442228266,232.81837603386418,3.1632199012482416
