profile,cameras,mean_delta_psnr,worst_delta_psnr,mean_delta_ssim,mean_delta_lpips,worst_positive_delta_lpips,worst_direct_psnr,saturations,stage
joint_input_quality_safe,8,0.001710653305053711,-0.004062652587890625,1.0058283805847168e-06,nan,nan,60.04085922241211,0,输入联合量化
quad_balanced,8,-0.8176145553588867,-1.7498626708984375,-0.018438249826431274,nan,nan,28.935287475585938,515846,二次型窄位宽（失败）
quad_wide40,8,0.0009000301361083984,-0.004608154296875,-4.331022500991821e-05,nan,nan,55.515159606933594,0,二次型宽控制
exp_addr8_out8,8,-0.0027747154235839844,-0.023815155029296875,-0.0002970695495605469,nan,nan,53.99916076660156,0,EXP 最小通过
exp_addr8_out10,8,-0.0001590251922607422,-0.010532379150390625,-4.821270704269409e-05,nan,nan,54.830299377441406,0,EXP 推荐
full_a10_t_uq1p15_acc16,8,-0.006378650665283203,-0.022548675537109375,-9.465962648391724e-05,nan,nan,53.81879806518555,0,Blending 推荐
