variant,profile,cameras,mean_delta_psnr,worst_delta_psnr,mean_delta_ssim,mean_delta_lpips,worst_positive_delta_lpips,worst_direct_psnr,saturations
quality_safe,camera_ready_quality_safe_v1,60,-0.010476525624593098,-0.07248687744140625,-0.00019379059473673504,-0.0007278223832448324,-0.00016185641288757324,47.86808776855469,0
wider_margin,camera_ready_margin_v1,60,-0.006346305211385091,-0.07582664489746094,-0.00014444490273793538,nan,nan,47.953468322753906,0
