aggregation,profile,cameras,mean_delta_psnr,worst_delta_psnr,mean_delta_ssim,worst_delta_ssim,mean_delta_lpips,worst_delta_lpips,risky_gaussians,repaired_gaussians,dropped_gaussians,quantized_non_psd_before,final_non_psd,raw_kvp,final_kvp,kvp_reduction,kvp_reduction_ratio,risky_visibility_sum
8-scene-equal,no_guard,573,-0.3529416602940664,-12.99972152709961,-0.0032026996115959,-0.2414255738258361,0.0017111739200735,0.1837101876735687,137528,0,0,36970,36970,141692307,141692307,0,0.0,3904820.250460318
8-scene-equal,opacity_prune,573,-0.0783491400374838,-2.8426942825317383,-0.0007739150899127,-0.040252685546875,-0.0004062221457222,0.0037312805652618,137528,0,137528,36970,0,141692307,141320690,371617,0.0026227041387645,0.0
8-scene-equal,integer_pd,573,-0.0857862675464956,-2.865377426147461,-0.0006566055458431,-0.016497790813446,-0.000293039600625,0.0048853009939193,137528,36970,0,36970,0,141692307,141650221,42086,0.0002970238885305,1442746.824052248
8-scene-equal,eigen_floor,573,-0.0443701598517377,-1.87934684753418,-0.0004291403931911,-0.0205127894878387,-0.0003805916498573,0.0032631754875183,137528,137528,0,36970,0,141692307,141542600,149707,0.0010565640659658,832920.723973514
8-scene-equal,wide_control,573,-0.0089829400946626,-0.9126091003417968,-0.0001671446572779,-0.0016179084777832,-0.0005915339370944,0.0001089312136173,137528,0,0,131,131,141692307,141692307,0,0.0,1489559.25087499
