scene,camera,profile,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,guard_risky_gaussians,guard_repaired_gaussians,guard_dropped_gaussians,guard_quantized_non_psd_before,guard_final_non_psd,guard_raw_kvp,guard_final_kvp
bicycle,9,opacity_prune,-0.0019912719726562,-0.0001636147499084,-8.910894393920898e-06,1991,0,1991,552,0,944467,944392
bicycle,9,no_guard,0.0023994445800781,-0.0003933310508728,-6.687641143798828e-05,1991,0,0,552,552,944467,944467
bicycle,10,wide_control,-0.0006313323974609,1.2278556823730469e-05,-0.0004719197750091,2200,0,0,3,3,952605,952605
bicycle,10,eigen_floor,-0.0226898193359375,-0.0002497434616088,-0.0003549754619598,2200,2200,0,629,0,952605,951149
bicycle,10,integer_pd,-0.0566082000732421,-0.0011172890663146,-0.0004412531852722,2200,629,0,629,0,952605,953905
bicycle,10,opacity_prune,-0.0834388732910156,-0.0004838705062866,-0.0005778074264526,2200,0,2200,629,0,952605,945246
bicycle,10,no_guard,-0.0178413391113281,-0.0002270936965942,-0.0003639161586761,2200,0,0,629,629,952605,952605
bicycle,11,wide_control,0.0073509216308593,-2.1696090698242188e-05,-0.0004699528217315,1774,0,0,2,2,860113,860113
bicycle,11,eigen_floor,-0.0297126770019531,-0.000584602355957,-0.0001502335071563,1774,1774,0,431,0,860113,857524
bicycle,11,integer_pd,-0.0219917297363281,-0.0006734132766723,-0.0001159310340881,1774,431,0,431,0,860113,858036
bicycle,11,opacity_prune,-0.032745361328125,-0.0005556344985961,-0.0001648068428039,1774,0,1774,431,0,860113,856918
bicycle,11,no_guard,-0.0128326416015625,-0.0005882382392883,-0.000159740447998,1774,0,0,431,431,860113,860113
bicycle,12,wide_control,-0.00677490234375,0.0001258254051208,-0.0003926753997802,1564,0,0,1,1,917955,917955
bicycle,12,eigen_floor,-0.0163516998291015,-0.0003573298454284,-0.0002234578132629,1564,1564,0,394,0,917955,915242
bicycle,12,integer_pd,-0.0163516998291015,-0.0003573298454284,-0.0002234578132629,1564,394,0,394,0,917955,915242
bicycle,12,opacity_prune,-0.0163516998291015,-0.0003573298454284,-0.0002234578132629,1564,0,1564,394,0,917955,915242
bicycle,12,no_guard,-0.0175247192382812,-0.0003469586372375,-0.0002418756484985,1564,0,0,394,394,917955,917955
bicycle,13,wide_control,-0.01763916015625,-0.0002890229225158,-0.0002590417861938,1734,0,0,1,1,904862,904862
bicycle,13,eigen_floor,-0.024881362915039,-0.000446081161499,-1.2993812561035156e-05,1734,1734,0,536,0,904862,904945
bicycle,13,integer_pd,0.052103042602539,-0.00031578540802,0.0002603828907012,1734,536,0,536,0,904862,906562
bicycle,13,opacity_prune,-0.0367279052734375,-0.0003384947776794,-2.086162567138672e-05,1734,0,1734,536,0,904862,903964
bicycle,13,no_guard,0.0138759613037109,-0.0003963112831115,0.0001263618469238,1734,0,0,536,536,904862,904862
bicycle,14,wide_control,-0.0129814147949218,-0.000178575515747,-0.0003505945205688,1652,0,0,0,0,811969,811969
bicycle,14,eigen_floor,-0.0532436370849609,-0.000538170337677,-4.881620407104492e-05,1652,1652,0,496,0,811969,811058
