profile,camera_count,scene_count,scene_equal_delta_psnr_db,scene_equal_delta_ssim,scene_equal_delta_lpips,pooled_delta_psnr_db,pooled_delta_psnr_median,pooled_delta_psnr_p5,worst_delta_psnr_db,cameras_below_minus_0p5_db,cameras_below_minus_1_db,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,candidate_status,constraint_failures,measured_area,selection_rank,selection_reason
selected_coord18_conic20_opacity8_rgb10,573,8,-0.04437015985173771,-0.00042914039319110744,-0.0003805916498573991,-0.027790963337683553,-0.0144500732421875,-0.09092178344726562,-1.8793468475341797,6,2,0,5587682056,0,0,186758276,rejected,['worst_delta_psnr'],197298.0,,quality/structure gate failed
selected_coord18_conic21_opacity8_rgb10,573,8,-0.01302034680804938,-0.00023998076922746045,-0.0004158861003388654,-0.013459348761806522,-0.01421356201171875,-0.04888420104980469,-0.8864984512329102,1,0,0,5590197478,0,0,186865626,pass,[],197612.0,1,minimum measured area among passing workload profiles
